Emoji,ASCII Code,Hex Color
😀,128512,#e6bd54
😃,128515,#e3b952
😄,128516,#e4bb54
😁,128513,#e5bf5d
😆,128518,#e4bb54
😅,128517,#d8ba60
🤣,129315,#dcbb5c
😂,128514,#d6bc65
🙂,128578,#f2c64f
🙃,128579,#f2c54e
🫠,129760,#f2c64f
😉,128521,#eec24e
😊,128522,#efbd4b
😇,128519,#d2b769
🥰,129392,#eeaa4e
😍,128525,#eca44b
🤩,129321,#deb561
😘,128536,#efb94d
😗,128535,#f3c64f
☺️,9786,#efbe4b
😚,128538,#efbe4d
😙,128537,#f1c24d
🥲,129394,#e6c75f
😋,128523,#f0c054
😛,128539,#eeba57
😜,128540,#e7b762
🤪,129322,#e1b56c
😝,128541,#ecb857
🤑,129297,#dcbf4b
🤗,129303,#f0ba54
🤭,129325,#eeba4c
🫢,129762,#efbb4c
🫣,129763,#e7be4f
🤫,129323,#f2bd4c
🤔,129300,#f1c550
🫡,129761,#edbe4e
🤐,129296,#e7c15c
🤨,129320,#edbe49
😐,128528,#f0c34e
😑,128529,#f1c44e
😶,128566,#f5c74f
🫥,129765,#e6cc9b
😶‍🌫️,128566,#e5d19f
😏,128527,#eec34e
😒,128530,#efc34e
🙄,128580,#e7c56c
😬,128556,#eac360
😮‍💨,128558,#dbcb95
🤥,129317,#edc04d
🫨,129768,#ecc667
🙂‍↔️,128578,#b8b288
🙂‍↕️,128578,#b8b188
😌,128524,#eec14d
😔,128532,#eec34e
😪,128554,#dec360
🤤,129316,#eac04e
😴,128564,#e4bd55
😷,128567,#e9c778
🤒,129298,#ecbd56
🤕,129301,#e3bf6b
🤢,129314,#9db532
🤮,129326,#b7bb45
🤧,129319,#eac868
🥵,129397,#e28b4f
🥶,129398,#79b2e5
🥴,129396,#ebba48
😵,128565,#e5b848
😵‍💫,128565,#ecc563
🤯,129327,#e4b464
🤠,129312,#bc984c
🥳,129395,#e1b661
🥸,129400,#c49c41
😎,128526,#c7a44d
🤓,129299,#d9b24f
🧐,129488,#eabf55
😕,128533,#f2c64f
🫤,129764,#efc04c
😟,128543,#eec04b
🙁,128577,#f1c44e
☹️,9785,#f1c54f
😮,128558,#f0c34d
😯,128559,#efc24d
😲,128562,#ebbf4d
😳,128563,#e2ba67
🥺,129402,#dcb552
🥹,129401,#dab456
😦,128550,#f0c34d
😧,128551,#edc04c
😨,128552,#c2ab78
😰,128560,#b9ae86
😥,128549,#e4c45c
😢,128546,#e4c35c
😭,128557,#cebb6e
😱,128561,#c3a978
😖,128534,#eec34f
😣,128547,#edc14e
😞,128542,#f2c64f
😓,128531,#ddc161
😩,128553,#e3b64a
😫,128555,#e2b549
🥱,129393,#e4b94b
😤,128548,#eac868
😡,128545,#ec893e
😠,128544,#efc34e
🤬,129324,#c58650
😈,128520,#9953a8
👿,128127,#9952a8
💀,128128,#bec1c2
☠️,9760,#bdbebf
💩,128169,#9b7962
🤡,129313,#d5a999
👹,128121,#a75549
👺,128122,#b65046
👻,128123,#bbb4b8
👽,128125,#8c9a9b
👾,128126,#625277
🤖,129302,#84a6a9
😺,128570,#c9aa58
😸,128568,#c7a856
😹,128569,#b8ae74
😻,128571,#d1974f
😼,128572,#cfad52
😽,128573,#d3aa52
🙀,128576,#d0b164
😿,128575,#c7b062
😾,128574,#cba951
🙈,128584,#c3a380
🙉,128585,#c1a582
🙊,128586,#c1a27c
💌,128140,#debbbb
💘,128152,#c96bb4
💝,128157,#eb9175
💖,128150,#ec6ba0
💗,128151,#ea95c2
💓,128147,#ef79be
💞,128158,#e964b2
💕,128149,#ec61b2
💟,128159,#aa5dc0
❣️,10083,#f3655b
💔,128148,#e86057
❤️‍🔥,10084,#f67852
❤️‍🩹,10084,#e78882
❤️,10084,#f1554b
🩷,129655,#e74fab
🧡,129505,#f49935
💛,128155,#f9cd5f
💚,128154,#61ce55
💙,128153,#3a85f6
🩵,129653,#7cd6f2
💜,128156,#bf63f4
🤎,129294,#996a49
🖤,128420,#4a4949
🩶,129654,#9c9c9c
🤍,129293,#e1e1e1
💋,128139,#e27676
💯,128175,#ed8886
💢,128162,#e76363
💥,128165,#f5a685
💫,128171,#f9de97
💦,128166,#7dd2f7
💨,128168,#c4d4e3
🕳️,128371,#565656
💬,128172,#e2e2e2
👁️‍🗨️,128065,#7a716b
🗨️,128488,#585858
🗯️,128495,#e9ebeb
💭,128173,#e3e4e5
💤,128164,#6f9bdd
👋,128075,#f1c969
👋🏻,128075,#f4d296
👋🏼,128075,#e8c485
👋🏽,128075,#dab173
👋🏾,128075,#c99f60
👋🏿,128075,#ad925f
🤚,129306,#f4c86b
🤚🏻,129306,#f5d39b
🤚🏼,129306,#e9c388
🤚🏽,129306,#d9af75
🤚🏾,129306,#c79b61
🤚🏿,129306,#a98d5f
🖐️,128400,#f8ce60
🖐🏻,128400,#f7d595
🖐🏼,128400,#ebc683
🖐🏽,128400,#dbb270
🖐🏾,128400,#ca9e5c
🖐🏿,128400,#ac905a
✋,9995,#f7cb5b
✋🏻,9995,#f7d494
✋🏼,9995,#eac582
✋🏽,9995,#dab06e
✋🏾,9995,#c99c5a
✋🏿,9995,#aa8e58
🖖,128406,#f6c858
🖖🏻,128406,#f6d393
🖖🏼,128406,#eac381
🖖🏽,128406,#daaf6d
🖖🏾,128406,#c89b59
🖖🏿,128406,#aa8c57
🫱,129777,#f3cd61
🫱🏻,129777,#f5d596
🫱🏼,129777,#e9c584
🫱🏽,129777,#d9b170
🫱🏾,129777,#c79d5c
🫱🏿,129777,#a98f5a
🫲,129778,#f1c95a
🫲🏻,129778,#f4d393
🫲🏼,129778,#e8c481
🫲🏽,129778,#d8af6d
🫲🏾,129778,#c69b59
🫲🏿,129778,#a88d57
🫳,129779,#ecc357
🫳🏻,129779,#f3d4a0
🫳🏼,129779,#e4c089
🫳🏽,129779,#d1a771
🫳🏾,129779,#bb8f58
🫳🏿,129779,#957d56
🫴,129780,#edc459
🫴🏻,129780,#f3d4a0
🫴🏼,129780,#e4c18a
🫴🏽,129780,#d1a872
🫴🏾,129780,#bb8f59
🫴🏿,129780,#957e56
🫷,129783,#eabc49
🫷🏻,129783,#f2d199
🫷🏼,129783,#e4be83
🫷🏽,129783,#d1a66c
🫷🏾,129783,#bc8e54
🫷🏿,129783,#977d51
🫸,129784,#eabc49
🫸🏻,129784,#f2d199
🫸🏼,129784,#e4be83
🫸🏽,129784,#d1a66c
🫸🏾,129784,#bc8e54
🫸🏿,129784,#977d51
👌,128076,#f5c95f
👌🏻,128076,#f6d499
👌🏼,128076,#e9c386
👌🏽,128076,#d8ad71
👌🏾,128076,#c5985b
👌🏿,128076,#a48959
🤌,129292,#f4c561
🤌🏻,129292,#f5d297
🤌🏼,129292,#e9c285
🤌🏽,129292,#d9ad71
🤌🏾,129292,#c7995c
🤌🏿,129292,#a88a5a
🤏,129295,#f0c158
🤏🏻,129295,#f4d29b
🤏🏼,129295,#e6c086
🤏🏽,129295,#d4a96f
🤏🏾,129295,#c09258
🤏🏿,129295,#9d8256
✌️,9996,#f3c558
✌🏻,9996,#f5d295
✌🏼,9996,#e8c282
✌🏽,9996,#d8ad6d
✌🏾,9996,#c59858
✌🏿,9996,#a58956
🤞,129310,#f3c453
🤞🏻,129310,#f5d295
🤞🏼,129310,#e8c181
🤞🏽,129310,#d7ab6c
🤞🏾,129310,#c49656
🤞🏿,129310,#a38754
🫰,129776,#f0c550
🫰🏻,129776,#f4d294
🫰🏼,129776,#e7c280
🫰🏽,129776,#d6ac6b
🫰🏾,129776,#c39655
🫰🏿,129776,#a28753
🤟,129311,#f7cd63
🤟🏻,129311,#f7d598
🤟🏼,129311,#eac586
🤟🏽,129311,#dab172
🤟🏾,129311,#c89c5d
